Type → Name Bigrams
================================================================================

Format: (node_type, node_name)
('prompt.text', '結果')
('function', '取得大語言模型')
('function', '設定AccessTokenObject')
('prompt.text', '未命名 - 2')
('prompt.text', '檔案超過限制')
('sending.message', 'LLM結果')
('function', '檢查json')
('variable', '發生錯誤時的生成結果設定')
('sending.message', '轉換中請稍候')
('trace', '結束前_確認voiceFileLinks')
('function', '分類附件(全部都支援/附件相關分類)')
('sending.message', 'Azure檔案上傳失敗')
('variable', '是否還有檔案')
('prompt.text', '輸入特徵')
('prompt.text', '請輸入該職缺的"條件要求"')
('sending.message', '轉換中請稍候-9秒')
('variable', '判斷輸入是否有輸入文字')
('flow.module.end', '結束目前的模組')
('trace', '輸入參數')
('trace', '文字檔轉文字 txtFiles')
('trace', '語音轉文字結果')
('sending.message', '詠唱中')
('flow.module.end', '結束目前的模組')
('function', '取得錯誤訊息')
('trace', 'tools')
('sending.message', '顯示搜尋結果')
('flow.module.end', '結束目前的模組')
('flow.module.end', '結束目前模組')
('function', '符合插件input-imagesFiles')
('function', '準備批次呼叫API資料')
('trace', '附件轉圖片結果')
('request.multicast', '批次取得檔案內容')
('variable', '判斷任務是否完成')
('function', '處理回傳結果(原本是批次結果整合成一次)')
('variable', '等待時間為30秒,60秒就詢問使用者是否要繼續等待')
('request.raw', '呼叫取得結果 API')
('request.multicast', '下載指定任務之檔案(逐字稿)')
('function', '組成錯誤訊息格式&清空已上傳資料')
('variable', '判斷輸入是否有輸入文字')
('sending.message', '送出')
('function', '訊息遮罩')
('function', '將答案加入對話紀錄中')
('function', '整理 toolCalls')
('function', '取得檔案')
('trace', 'messageModuleOutput')
('prompt.text', '重新上傳')
('variable', '判斷是否用量配額用盡')
('flow.module.begin', '根據LLM判斷履歷是否符合職缺要求')
('request.raw', 'Get Token')
('flow.module.begin', '呼叫語音轉文字模組')
('variable', '判斷是否有 toolCall 待處理')
('trace', '上傳Azure後_確認voiceFileLinks')
('sending.message', '提示詞')
('function', '整理圖片生成結果')
('sending.message', '回傳')
('function', '更新並保留支援的附件')
('request.raw', '呼叫語音轉文字API')
('sending.message', '轉換中請稍候-10秒')
('request.raw', '呼叫 dall e-3生成圖片')
('trace', '偵錯建立任務')
('sending.message', '提示收到檔案')
('flow.module.begin', '呼叫 FunctionCall 處理模組')
('flow.module.end', '結束目前的模組')
('function', 'jsonparse')
('flow.module.begin', '職缺條件標準化')
('function', '確認使用者提示是否有輸入')
('flow.begin', '回首頁')
('request.raw', '呼叫語音轉文字API')
('request.raw', 'API發送')
('prompt.text', '詢問是否要繼續等待')
('request.formdata', 'API發送')
('variable', '判斷等待次數是否超過')
('variable', '判斷上傳方式')
('prompt.text', '提示下一步')
('sending.message', 'url')
('flow.begin', '回首頁')
('variable', '發生錯誤時回覆結果設定')
('variable', '是否啟用流量控管')
('function', '確認使用者提示是否有輸入')
('prompt.text', '顯示三版結果')
('flow.module.begin', '生圖')
('flow.module.begin', '編輯發票')
('trace', '偵錯訊息處理模組處理結果')
('function', '判斷API Status')
('flow.module.begin', '把對話畫成吉卜力圖片')
('sending.message', 'Azure檔案上傳失敗')
('request.raw', '呼叫聊天完成 API(v2)')
('prompt.text', '顯示發票')
('flow.module.begin', '判斷 API 呼叫結果')
('flow.begin', '發票OCR')
('flow.module.end', '結束目前的模組')
('trace', '圖片上傳到 FileServer')
('function', '設定目前 toolCall')
('variable', '判斷upload to azure是否成功')
('trace', '偵錯待處理檔案')
('flow.begin', '回選單')
('variable', '判斷使用哪一種語音技術')
('custom', '上傳檔案並轉為Base64字串')
('function', '整理檔案內容')
('prompt.text', '請使用者輸入文字')
('prompt.text', '等待使用者上傳檔案')
('request.raw', 'Google 搜尋')
('function', '取得allFiles、替換Azure連結')
('variable', 'temp')
('flow.module.end', '結束目前的模組')
('request.raw', 'Bing 搜尋')
('custom', '建立任務')
('function', '處理取回的檔案連結')
('function', '整理逐字稿內容')
('variable', 'adcard')
('trace', '偵錯文字檔檔案連結')
('function', '語音轉文字參數整理')
('trace', 'isEnableContextAwareness')
('variable', '是否輸入文字')
('sending.message', '取消')
('trace', '進入')
('function', '組成錯誤訊息格式&清空已上傳資料')
('sending.message', '不等待')
('variable', '判斷使用引擎')
('trace', '輸入參數')
('prompt.text', '功能說明')
('function', '串接文字結果')
('flow.begin', '偵測語系')
('variable', '設定新文章')
('flow.begin', '偵測文章語系')
('prompt.text', '輸入第二篇文章')
('prompt.text', '功能說明')
('function', '調整 MP3 Base64')
('variable', 'API是否呼叫成功')
('variable', '設定初始值')
('variable', '初始index次數')
('variable', '判斷是否翻譯其他文章')
('flow.switch', 'API呼叫失敗')
('flow.end.current', '結束目前腳本')
('flow.begin', '偵測語系')
('flow.begin', '偵測語系')
('variable', '設定文章摘要初始值')
('flow.end.current', '結束目前腳本')
('variable', 'API是否呼叫成功')
('prompt.text', '顯示校正後文章')
('trace', 'apiResponse')
('prompt.text', '功能選單')
('prompt.text', '文章摘要設定(ac)')
('flow.begin', '呼叫文字轉語音API')
('variable', '判斷是否已有文章')
('prompt.text', '顯示結果')
